queue_event_id,centre_id,event_timestamp,queue_length,active_counters,avg_quantity_qtl,avg_service_time_min,hour,weather_condition,no_show_count,observed_wait_time_min,daily_capacity_qtl,daily_farmer_capacity,service_counters,historical_on_time_rate,historical_processing_efficiency,slot_fill_rate,day_of_week
Q000000,C001,2026-09-14 17:01:00,25,1,30,10,8,rain,2,37,120,180,4,0.736,0.631,0.81,0
Q000001,C004,2026-09-26 01:38:00,60,3,6,10,12,rain,0,26,60,100,2,0.746,0.824,0.822,5
Q000002,C003,2026-09-07 00:27:00,47,4,33,16,15,rain,2,16,110,165,4,0.921,0.854,0.862,0
Q000003,C004,2026-09-23 23:55:00,47,5,13,6,14,clear,3,43,60,100,2,0.746,0.824,0.822,2
Q000004,C002,2026-09-26 04:18:00,37,3,8,6,13,cloudy,2,24,90,150,3,0.896,0.791,0.812,5
Q000005,C004,2026-09-28 18:43:00,54,2,27,18,13,rain,0,27,60,100,2,0.746,0.824,0.822,0
Q000006,C004,2026-09-13 20:23:00,7,1,26,16,13,cloudy,1,6,60,100,2,0.746,0.824,0.822,6
Q000007,C002,2026-09-29 00:07:00,56,1,9,6,11,cloudy,2,28,90,150,3,0.896,0.791,0.812,1
Q000008,C004,2026-09-27 04:04:00,4,5,9,18,13,rain,3,9,60,100,2,0.746,0.824,0.822,6
Q000009,C002,2026-09-25 10:48:00,46,4,15,12,11,clear,0,16,90,150,3,0.896,0.791,0.812,4
Q000010,C004,2026-09-24 22:00:00,49,5,8,12,12,cloudy,3,18,60,100,2,0.746,0.824,0.822,3
Q000011,C003,2026-09-23 17:01:00,25,1,9,6,15,clear,3,10,110,165,4,0.921,0.854,0.862,2
Q000012,C003,2026-09-17 03:58:00,8,5,22,13,12,clear,1,28,110,165,4,0.921,0.854,0.862,3
Q000013,C002,2026-09-06 21:03:00,25,2,12,19,8,rain,2,34,90,150,3,0.896,0.791,0.812,6
Q000014,C002,2026-09-29 04:54:00,11,1,14,16,15,cloudy,3,31,90,150,3,0.896,0.791,0.812,1
Q000015,C001,2026-09-07 01:23:00,40,1,19,18,18,cloudy,2,13,120,180,4,0.736,0.631,0.81,0
Q000016,C002,2026-09-07 05:26:00,55,5,34,5,9,cloudy,1,24,90,150,3,0.896,0.791,0.812,0
Q000017,C002,2026-09-08 17:24:00,41,2,16,20,12,clear,2,17,90,150,3,0.896,0.791,0.812,1
Q000018,C003,2026-09-07 01:13:00,80,3,24,6,16,cloudy,1,42,110,165,4,0.921,0.854,0.862,0
Q000019,C002,2026-09-09 03:29:00,79,5,15,5,8,clear,0,41,90,150,3,0.896,0.791,0.812,2
Q000020,C003,2026-09-30 23:42:00,26,5,18,4,15,cloudy,2,24,110,165,4,0.921,0.854,0.862,2
Q000021,C004,2026-09-12 11:58:00,51,3,19,6,8,clear,3,31,60,100,2,0.746,0.824,0.822,5
Q000022,C004,2026-09-22 11:47:00,26,3,24,8,13,cloudy,2,27,60,100,2,0.746,0.824,0.822,1
Q000023,C004,2026-09-07 07:19:00,47,5,22,7,13,clear,3,12,60,100,2,0.746,0.824,0.822,0
Q000024,C003,2026-09-21 19:34:00,31,2,8,5,12,rain,3,20,110,165,4,0.921,0.854,0.862,0
Q000025,C002,2026-09-16 06:08:00,73,3,11,9,15,cloudy,3,36,90,150,3,0.896,0.791,0.812,2
Q000026,C003,2026-09-23 23:45:00,2,1,35,16,16,rain,1,18,110,165,4,0.921,0.854,0.862,2
Q000027,C003,2026-09-03 13:38:00,6,3,20,19,12,cloudy,0,11,110,165,4,0.921,0.854,0.862,3
Q000028,C004,2026-09-07 10:47:00,33,3,29,16,13,clear,3,8,60,100,2,0.746,0.824,0.822,0
Q000029,C002,2026-09-17 20:28:00,70,3,7,16,16,rain,2,44,90,150,3,0.896,0.791,0.812,3
Q000030,C001,2026-09-07 05:02:00,12,4,16,14,16,rain,1,17,120,180,4,0.736,0.631,0.81,0
Q000031,C004,2026-09-24 02:43:00,5,1,6,8,13,rain,3,14,60,100,2,0.746,0.824,0.822,3
Q000032,C002,2026-09-16 06:43:00,78,3,10,16,17,cloudy,2,42,90,150,3,0.896,0.791,0.812,2
Q000033,C003,2026-09-24 10:37:00,65,5,20,13,15,clear,2,26,110,165,4,0.921,0.854,0.862,3
Q000034,C001,2026-09-20 07:28:00,74,3,30,4,17,rain,2,42,120,180,4,0.736,0.631,0.81,6
Q000035,C002,2026-09-03 16:35:00,74,4,10,20,18,cloudy,3,14,90,150,3,0.896,0.791,0.812,3
Q000036,C002,2026-09-02 18:59:00,73,1,11,4,15,rain,3,14,90,150,3,0.896,0.791,0.812,2
Q000037,C004,2026-09-10 15:12:00,52,5,29,19,8,cloudy,1,38,60,100,2,0.746,0.824,0.822,3
Q000038,C002,2026-09-26 21:08:00,41,4,21,16,13,clear,3,39,90,150,3,0.896,0.791,0.812,5
Q000039,C003,2026-09-26 05:10:00,45,3,24,19,11,clear,2,40,110,165,4,0.921,0.854,0.862,5
Q000040,C003,2026-09-11 14:06:00,38,3,27,10,15,rain,3,27,110,165,4,0.921,0.854,0.862,4
Q000041,C003,2026-09-14 10:50:00,15,5,26,16,14,rain,1,23,110,165,4,0.921,0.854,0.862,0
Q000042,C001,2026-09-14 10:40:00,10,3,34,18,18,rain,3,18,120,180,4,0.736,0.631,0.81,0
Q000043,C002,2026-09-25 20:46:00,34,5,27,12,10,clear,1,20,90,150,3,0.896,0.791,0.812,4
Q000044,C001,2026-09-25 12:32:00,28,2,6,7,14,rain,3,11,120,180,4,0.736,0.631,0.81,4
Q000045,C002,2026-09-01 14:09:00,70,2,18,19,15,cloudy,1,23,90,150,3,0.896,0.791,0.812,1
Q000046,C003,2026-09-14 08:14:00,7,1,25,11,16,cloudy,0,16,110,165,4,0.921,0.854,0.862,0
Q000047,C004,2026-09-09 08:30:00,4,4,30,19,10,cloudy,2,7,60,100,2,0.746,0.824,0.822,2
Q000048,C001,2026-09-14 22:25:00,72,5,8,14,12,rain,3,13,120,180,4,0.736,0.631,0.81,0
Q000049,C004,2026-09-13 18:30:00,24,1,15,9,15,cloudy,2,16,60,100,2,0.746,0.824,0.822,6
Q000050,C001,2026-09-16 16:42:00,37,5,26,10,10,cloudy,3,32,120,180,4,0.736,0.631,0.81,2
Q000051,C003,2026-09-05 07:14:00,51,1,10,8,15,rain,1,5,110,165,4,0.921,0.854,0.862,5
Q000052,C003,2026-09-18 19:27:00,30,4,29,12,13,rain,0,21,110,165,4,0.921,0.854,0.862,4
Q000053,C003,2026-09-12 02:36:00,7,1,19,13,10,rain,2,12,110,165,4,0.921,0.854,0.862,5
Q000054,C003,2026-09-18 01:57:00,78,2,12,8,15,clear,3,43,110,165,4,0.921,0.854,0.862,4
Q000055,C003,2026-09-20 06:42:00,70,4,29,10,11,cloudy,0,38,110,165,4,0.921,0.854,0.862,6
Q000056,C004,2026-09-25 09:24:00,46,1,34,7,8,cloudy,1,41,60,100,2,0.746,0.824,0.822,4
Q000057,C002,2026-09-08 20:13:00,41,5,19,7,18,clear,3,10,90,150,3,0.896,0.791,0.812,1
Q000058,C004,2026-09-03 21:16:00,58,2,21,17,15,cloudy,0,40,60,100,2,0.746,0.824,0.822,3
Q000059,C004,2026-09-15 09:06:00,2,4,13,4,11,cloudy,0,7,60,100,2,0.746,0.824,0.822,1
Q000060,C004,2026-09-17 00:49:00,8,5,6,6,15,clear,2,31,60,100,2,0.746,0.824,0.822,3
Q000061,C002,2026-09-07 12:25:00,53,3,33,16,15,rain,3,10,90,150,3,0.896,0.791,0.812,0
Q000062,C002,2026-10-01 02:20:00,44,1,10,16,16,clear,1,5,90,150,3,0.896,0.791,0.812,3
Q000063,C001,2026-09-14 22:23:00,59,5,18,16,11,clear,3,27,120,180,4,0.736,0.631,0.81,0
Q000064,C002,2026-09-13 21:34:00,24,1,6,17,17,clear,1,18,90,150,3,0.896,0.791,0.812,6
Q000065,C001,2026-09-05 22:42:00,76,1,19,5,11,cloudy,0,30,120,180,4,0.736,0.631,0.81,5
Q000066,C004,2026-09-12 00:27:00,69,2,29,5,10,cloudy,2,19,60,100,2,0.746,0.824,0.822,5
Q000067,C003,2026-09-27 15:15:00,76,3,12,13,10,cloudy,1,31,110,165,4,0.921,0.854,0.862,6
Q000068,C003,2026-09-13 21:02:00,7,5,35,9,18,cloudy,3,40,110,165,4,0.921,0.854,0.862,6
Q000069,C004,2026-09-03 11:42:00,44,4,30,20,13,cloudy,3,31,60,100,2,0.746,0.824,0.822,3
Q000070,C002,2026-09-15 00:03:00,48,2,29,19,11,clear,2,14,90,150,3,0.896,0.791,0.812,1
Q000071,C004,2026-09-03 23:26:00,71,4,35,17,16,cloudy,1,29,60,100,2,0.746,0.824,0.822,3
Q000072,C002,2026-09-12 23:01:00,26,3,25,6,15,rain,0,39,90,150,3,0.896,0.791,0.812,5
Q000073,C002,2026-09-03 16:47:00,34,4,26,5,9,clear,1,35,90,150,3,0.896,0.791,0.812,3
Q000074,C002,2026-09-16 12:11:00,38,1,11,10,9,cloudy,3,20,90,150,3,0.896,0.791,0.812,2
Q000075,C002,2026-09-19 09:43:00,30,5,15,13,14,rain,2,24,90,150,3,0.896,0.791,0.812,5
Q000076,C003,2026-09-17 17:19:00,65,4,19,7,15,rain,1,28,110,165,4,0.921,0.854,0.862,3
