farmer_id,registration_no,block,crop,land_category,verification_status,preferred_language
F0001,REG26000001,Barasat I,paddy,small,verified,bn
F0002,REG26000002,Basirhat I,paddy,small,verified,en
F0003,REG26000003,Barasat II,paddy,small,verified,bn
F0004,REG26000004,Barasat I,paddy,marginal,verified,en
F0005,REG26000005,Barasat I,paddy,small,verified,en
F0006,REG26000006,Barasat II,paddy,small,verified,bn
F0007,REG26000007,Barasat II,paddy,marginal,verified,en
F0008,REG26000008,Bongaon,paddy,marginal,verified,en
F0009,REG26000009,Barasat II,paddy,marginal,verified,hi
F0010,REG26000010,Basirhat I,paddy,small,verified,en
F0011,REG26000011,Basirhat I,paddy,small,verified,en
F0012,REG26000012,Bongaon,paddy,small,verified,hi
F0013,REG26000013,Basirhat I,paddy,marginal,verified,en
F0014,REG26000014,Bongaon,paddy,small,verified,hi
F0015,REG26000015,Barasat I,paddy,marginal,verified,bn
F0016,REG26000016,Basirhat I,paddy,small,verified,bn
F0017,REG26000017,Barasat I,paddy,small,verified,bn
F0018,REG26000018,Barasat II,paddy,marginal,verified,en
F0019,REG26000019,Barasat II,paddy,small,verified,hi
F0020,REG26000020,Basirhat I,paddy,marginal,verified,bn
F0021,REG26000021,Basirhat I,paddy,small,verified,hi
F0022,REG26000022,Basirhat I,paddy,small,verified,bn
F0023,REG26000023,Basirhat I,paddy,small,verified,bn
F0024,REG26000024,Barasat II,paddy,small,verified,en
F0025,REG26000025,Bongaon,paddy,marginal,verified,hi
F0026,REG26000026,Barasat II,paddy,marginal,verified,en
F0027,REG26000027,Barasat II,paddy,small,verified,hi
F0028,REG26000028,Bongaon,paddy,marginal,verified,en
F0029,REG26000029,Barasat II,paddy,marginal,verified,en
F0030,REG26000030,Bongaon,paddy,marginal,verified,bn
F0031,REG26000031,Bongaon,paddy,small,verified,hi
F0032,REG26000032,Barasat II,paddy,small,verified,bn
F0033,REG26000033,Basirhat I,paddy,marginal,verified,bn
F0034,REG26000034,Bongaon,paddy,marginal,verified,en
F0035,REG26000035,Barasat II,paddy,marginal,verified,en
F0036,REG26000036,Barasat I,paddy,small,verified,en
F0037,REG26000037,Barasat II,paddy,marginal,verified,bn
F0038,REG26000038,Barasat I,paddy,marginal,verified,hi
F0039,REG26000039,Bongaon,paddy,marginal,verified,bn
F0040,REG26000040,Barasat I,paddy,small,verified,bn
F0041,REG26000041,Basirhat I,paddy,marginal,verified,en
F0042,REG26000042,Basirhat I,paddy,marginal,verified,en
F0043,REG26000043,Bongaon,paddy,small,verified,bn
F0044,REG26000044,Basirhat I,paddy,small,verified,bn
F0045,REG26000045,Barasat I,paddy,marginal,verified,bn
F0046,REG26000046,Barasat II,paddy,small,verified,hi
F0047,REG26000047,Barasat II,paddy,small,verified,bn
