date,market,commodity,min_price,modal_price,max_price
2026-09-01,Barasat,Paddy,2364,2384,2564
2026-09-01,Basirhat,Paddy,2301,2424,2610
2026-09-01,Bongaon,Paddy,2418,2453,2561
2026-09-02,Barasat,Paddy,2393,2371,2575
2026-09-02,Basirhat,Paddy,2212,2475,2476
2026-09-02,Bongaon,Paddy,2364,2493,2573
2026-09-03,Barasat,Paddy,2399,2428,2577
2026-09-03,Basirhat,Paddy,2347,2547,2625
2026-09-03,Bongaon,Paddy,2228,2485,2460
2026-09-04,Barasat,Paddy,2296,2592,2472
2026-09-04,Basirhat,Paddy,2357,2578,2600
2026-09-04,Bongaon,Paddy,2492,2488,2494
2026-09-05,Barasat,Paddy,2360,2539,2462
2026-09-05,Basirhat,Paddy,2473,2357,2462
2026-09-05,Bongaon,Paddy,2355,2448,2498
2026-09-06,Barasat,Paddy,2380,2596,2587
2026-09-06,Basirhat,Paddy,2226,2560,2625
2026-09-06,Bongaon,Paddy,2422,2539,2580
2026-09-07,Barasat,Paddy,2468,2567,2495
2026-09-07,Basirhat,Paddy,2460,2444,2624
2026-09-07,Bongaon,Paddy,2222,2583,2504
2026-09-08,Barasat,Paddy,2250,2467,2497
2026-09-08,Basirhat,Paddy,2313,2532,2531
2026-09-08,Bongaon,Paddy,2237,2532,2502
2026-09-09,Barasat,Paddy,2453,2402,2596
2026-09-09,Basirhat,Paddy,2207,2361,2547
2026-09-09,Bongaon,Paddy,2305,2580,2626
2026-09-10,Barasat,Paddy,2259,2586,2524
2026-09-10,Basirhat,Paddy,2202,2581,2511
2026-09-10,Bongaon,Paddy,2369,2395,2549
2026-09-11,Barasat,Paddy,2316,2445,2552
2026-09-11,Basirhat,Paddy,2222,2389,2486
2026-09-11,Bongaon,Paddy,2326,2509,2621
2026-09-12,Barasat,Paddy,2332,2575,2558
2026-09-12,Basirhat,Paddy,2492,2531,2610
2026-09-12,Bongaon,Paddy,2358,2402,2617
2026-09-13,Barasat,Paddy,2339,2454,2626
2026-09-13,Basirhat,Paddy,2205,2456,2555
2026-09-13,Bongaon,Paddy,2393,2421,2498
2026-09-14,Barasat,Paddy,2449,2414,2603
2026-09-14,Basirhat,Paddy,2205,2510,2627
2026-09-14,Bongaon,Paddy,2402,2360,2628
2026-09-15,Barasat,Paddy,2429,2382,2619
2026-09-15,Basirhat,Paddy,2314,2368,2613
2026-09-15,Bongaon,Paddy,2258,2379,2490
2026-09-16,Barasat,Paddy,2450,2367,2496
2026-09-16,Basirhat,Paddy,2474,2433,2492
2026-09-16,Bongaon,Paddy,2331,2594,2624
2026-09-17,Barasat,Paddy,2403,2422,2587
2026-09-17,Basirhat,Paddy,2346,2422,2595
2026-09-17,Bongaon,Paddy,2333,2377,2644
2026-09-18,Barasat,Paddy,2261,2451,2501
2026-09-18,Basirhat,Paddy,2244,2492,2577
2026-09-18,Bongaon,Paddy,2302,2382,2582
2026-09-19,Barasat,Paddy,2218,2470,2572
2026-09-19,Basirhat,Paddy,2255,2378,2508
2026-09-19,Bongaon,Paddy,2219,2563,2549
2026-09-20,Barasat,Paddy,2294,2371,2645
2026-09-20,Basirhat,Paddy,2234,2411,2561
2026-09-20,Bongaon,Paddy,2389,2462,2639
2026-09-21,Barasat,Paddy,2273,2463,2602
2026-09-21,Basirhat,Paddy,2221,2519,2578
2026-09-21,Bongaon,Paddy,2296,2546,2503
2026-09-22,Barasat,Paddy,2362,2361,2595
2026-09-22,Basirhat,Paddy,2207,2592,2489
2026-09-22,Bongaon,Paddy,2374,2570,2514
2026-09-23,Barasat,Paddy,2289,2439,2568
2026-09-23,Basirhat,Paddy,2302,2580,2614
2026-09-23,Bongaon,Paddy,2228,2450,2547
2026-09-24,Barasat,Paddy,2278,2592,2524
2026-09-24,Basirhat,Paddy,2458,2366,2507
2026-09-24,Bongaon,Paddy,2294,2510,2499
2026-09-25,Barasat,Paddy,2371,2518,2634
2026-09-25,Basirhat,Paddy,2424,2356,2562
2026-09-25,Bongaon,Paddy,2235,2565,2512
2026-09-26,Barasat,Paddy,2470,2423,2592
2026-09-26,Basirhat,Paddy,2282,2386,2590
2026-09-26,Bongaon,Paddy,2362,2364,2478
2026-09-27,Barasat,Paddy,2233,2454,2582
2026-09-27,Basirhat,Paddy,2473,2354,2608
2026-09-27,Bongaon,Paddy,2286,2535,2532
2026-09-28,Barasat,Paddy,2389,2359,2486
2026-09-28,Basirhat,Paddy,2253,2525,2509
2026-09-28,Bongaon,Paddy,2203,2447,2450
2026-09-29,Barasat,Paddy,2488,2364,2549
2026-09-29,Basirhat,Paddy,2490,2380,2507
2026-09-29,Bongaon,Paddy,2218,2494,2589
2026-09-30,Barasat,Paddy,2237,2355,2616
2026-09-30,Basirhat,Paddy,2443,2589,2596
2026-09-30,Bongaon,Paddy,2397,2422,2625
