notification_id,farmer_id,event_type,channel,language,delivery_status
N00001,F0075,procurement_complete,push,hi,sent
N00002,F0045,queue_update,sms,bn,sent
N00003,F0097,procurement_complete,in_app,bn,sent
N00004,F0053,queue_update,push,en,sent
N00005,F0078,queue_update,sms,hi,sent
N00006,F0046,procurement_complete,push,bn,sent
N00007,F0088,slot_reminder,sms,hi,sent
N00008,F0065,slot_reminder,in_app,hi,sent
N00009,F0070,slot_reminder,in_app,en,sent
N00010,F0027,procurement_complete,sms,hi,sent
N00011,F0015,payment_update,in_app,en,sent
N00012,F0067,booking_confirmed,in_app,en,sent
N00013,F0033,payment_update,in_app,en,sent
N00014,F0095,slot_reminder,in_app,bn,sent
N00015,F0043,procurement_complete,sms,hi,sent
N00016,F0094,queue_update,in_app,hi,sent
N00017,F0067,procurement_complete,sms,bn,sent
N00018,F0045,procurement_complete,in_app,en,sent
N00019,F0029,procurement_complete,sms,bn,sent
N00020,F0097,slot_reminder,in_app,en,sent
N00021,F0065,booking_confirmed,push,en,sent
N00022,F0010,queue_update,sms,hi,sent
N00023,F0039,slot_reminder,in_app,bn,sent
N00024,F0013,slot_reminder,sms,en,sent
N00025,F0004,queue_update,sms,en,sent
N00026,F0024,booking_confirmed,sms,hi,sent
N00027,F0058,booking_confirmed,push,hi,sent
N00028,F0085,procurement_complete,sms,bn,sent
N00029,F0077,queue_update,push,hi,sent
N00030,F0048,slot_reminder,push,hi,sent
N00031,F0080,payment_update,push,bn,sent
N00032,F0079,payment_update,sms,bn,sent
N00033,F0063,booking_confirmed,push,hi,sent
N00034,F0045,booking_confirmed,push,bn,sent
N00035,F0061,procurement_complete,in_app,en,sent
N00036,F0055,payment_update,in_app,hi,sent
N00037,F0088,procurement_complete,sms,hi,sent
N00038,F0005,procurement_complete,sms,hi,sent
N00039,F0033,payment_update,sms,en,sent
N00040,F0032,booking_confirmed,push,hi,sent
N00041,F0096,queue_update,sms,bn,sent
N00042,F0061,booking_confirmed,push,hi,sent
N00043,F0071,procurement_complete,sms,bn,sent
N00044,F0053,booking_confirmed,sms,bn,sent
N00045,F0017,payment_update,in_app,en,sent
N00046,F0065,procurement_complete,sms,bn,sent
N00047,F0024,procurement_complete,push,bn,sent
N00048,F0073,procurement_complete,in_app,bn,sent
N00049,F0093,booking_confirmed,push,bn,sent
N00050,F0016,payment_update,push,en,sent
N00051,F0058,queue_update,sms,en,sent
N00052,F0038,payment_update,push,hi,sent
N00053,F0015,slot_reminder,sms,en,sent
N00054,F0062,procurement_complete,sms,en,sent
N00055,F0050,slot_reminder,push,en,sent
N00056,F0039,slot_reminder,sms,hi,sent
N00057,F0088,payment_update,push,en,sent
N00058,F0092,procurement_complete,in_app,en,sent
N00059,F0013,slot_reminder,sms,en,sent
N00060,F0095,payment_update,in_app,en,sent
N00061,F0057,procurement_complete,push,bn,sent
N00062,F0056,booking_confirmed,in_app,bn,sent
N00063,F0089,queue_update,in_app,bn,sent
N00064,F0014,procurement_complete,push,en,sent
N00065,F0036,procurement_complete,in_app,bn,sent
N00066,F0055,booking_confirmed,sms,en,sent
N00067,F0034,queue_update,push,hi,sent
N00068,F0065,slot_reminder,sms,en,sent
N00069,F0004,slot_reminder,sms,bn,sent
N00070,F0024,slot_reminder,push,bn,sent
N00071,F0070,queue_update,in_app,hi,sent
N00072,F0062,booking_confirmed,in_app,en,sent
N00073,F0075,procurement_complete,sms,bn,sent
N00074,F0006,slot_reminder,sms,en,sent
N00075,F0039,slot_reminder,in_app,bn,sent
N00076,F0051,booking_confirmed,push,en,sent
N00077,F0066,booking_confirmed,sms,bn,sent
N00078,F0086,queue_update,in_app,bn,sent
N00079,F0002,queue_update,sms,hi,sent
N00080,F0032,procurement_complete,sms,en,sent
N00081,F0085,procurement_complete,push,hi,sent
N00082,F0028,booking_confirmed,sms,hi,sent
N00083,F0071,payment_update,sms,en,sent
N00084,F0086,slot_reminder,in_app,en,sent
N00085,F0098,booking_confirmed,push,bn,sent
N00086,F0010,payment_update,sms,en,sent
N00087,F0081,procurement_complete,in_app,hi,sent
N00088,F0029,queue_update,push,en,sent
N00089,F0097,procurement_complete,sms,hi,sent
N00090,F0100,procurement_complete,sms,en,sent
N00091,F0086,queue_update,push,hi,sent
N00092,F0078,slot_reminder,in_app,en,sent
N00093,F0062,payment_update,in_app,hi,sent
N00094,F0083,slot_reminder,sms,bn,sent
N00095,F0067,queue_update,push,en,sent
N00096,F0056,payment_update,sms,hi,sent
N00097,F0009,payment_update,sms,bn,sent
N00098,F0100,slot_reminder,in_app,en,sent
N00099,F0048,queue_update,push,hi,sent
N00100,F0060,queue_update,push,bn,sent
N00101,F0078,queue_update,push,hi,sent
N00102,F0066,procurement_complete,push,bn,sent
N00103,F0076,payment_update,in_app,bn,sent
N00104,F0077,payment_update,sms,hi,sent
N00105,F0044,booking_confirmed,in_app,hi,sent
N00106,F0044,payment_update,in_app,bn,sent
N00107,F0081,booking_confirmed,push,bn,sent
N00108,F0035,queue_update,push,bn,sent
N00109,F0066,slot_reminder,push,hi,sent
N00110,F0031,payment_update,sms,hi,sent
N00111,F0040,slot_reminder,push,bn,sent
N00112,F0087,procurement_complete,push,hi,sent
N00113,F0077,procurement_complete,in_app,bn,sent
N00114,F0025,payment_update,sms,bn,sent
N00115,F0038,slot_reminder,in_app,bn,sent
N00116,F0047,payment_update,in_app,hi,sent
N00117,F0027,procurement_complete,in_app,bn,sent
N00118,F0023,booking_confirmed,in_app,bn,sent
N00119,F0038,slot_reminder,sms,bn,sent
N00120,F0082,queue_update,sms,bn,sent
N00121,F0064,queue_update,sms,hi,sent
N00122,F0062,queue_update,in_app,hi,sent
N00123,F0069,queue_update,sms,hi,sent
N00124,F0078,booking_confirmed,push,en,sent
N00125,F0049,payment_update,push,en,sent
N00126,F0009,slot_reminder,push,hi,sent
N00127,F0059,payment_update,in_app,hi,sent
N00128,F0066,payment_update,push,en,sent
N00129,F0035,booking_confirmed,push,bn,sent
N00130,F0063,payment_update,sms,hi,sent
N00131,F0056,procurement_complete,push,en,sent
N00132,F0018,slot_reminder,sms,hi,sent
N00133,F0098,booking_confirmed,sms,en,sent
N00134,F0036,booking_confirmed,in_app,bn,sent
N00135,F0035,slot_reminder,sms,bn,sent
N00136,F0088,procurement_complete,sms,en,sent
N00137,F0085,payment_update,sms,en,sent
N00138,F0015,queue_update,in_app,bn,sent
N00139,F0036,queue_update,push,en,sent
N00140,F0030,slot_reminder,in_app,bn,sent
N00141,F0074,queue_update,in_app,hi,sent
N00142,F0031,slot_reminder,sms,bn,sent
N00143,F0075,queue_update,sms,en,sent
N00144,F0050,slot_reminder,in_app,bn,sent
N00145,F0003,slot_reminder,sms,bn,sent
N00146,F0095,payment_update,push,hi,sent
N00147,F0016,booking_confirmed,sms,hi,sent
N00148,F0029,slot_reminder,push,bn,sent
N00149,F0022,slot_reminder,sms,hi,sent
N00150,F0014,booking_confirmed,sms,bn,sent
N00151,F0040,procurement_complete,in_app,bn,sent
N00152,F0050,procurement_complete,sms,en,sent
N00153,F0013,booking_confirmed,push,bn,sent
N00154,F0057,procurement_complete,sms,bn,sent
N00155,F0050,payment_update,push,en,sent
N00156,F0070,queue_update,sms,bn,sent
N00157,F0063,procurement_complete,in_app,hi,sent
N00158,F0042,booking_confirmed,push,bn,sent
N00159,F0079,procurement_complete,push,bn,sent
N00160,F0027,queue_update,sms,bn,sent
N00161,F0010,payment_update,in_app,bn,sent
N00162,F0049,slot_reminder,push,en,sent
N00163,F0028,queue_update,push,hi,sent
N00164,F0036,slot_reminder,in_app,hi,sent
N00165,F0030,procurement_complete,in_app,hi,sent
N00166,F0004,payment_update,sms,bn,sent
N00167,F0090,booking_confirmed,push,bn,sent
N00168,F0003,procurement_complete,in_app,hi,sent
N00169,F0047,procurement_complete,sms,hi,sent
N00170,F0056,procurement_complete,push,en,sent
N00171,F0056,queue_update,push,en,sent
N00172,F0035,queue_update,push,hi,sent
N00173,F0021,slot_reminder,sms,bn,sent
N00174,F0083,payment_update,in_app,bn,sent
N00175,F0026,booking_confirmed,push,hi,sent
N00176,F0007,slot_reminder,sms,bn,sent
N00177,F0021,booking_confirmed,in_app,bn,sent
N00178,F0071,booking_confirmed,push,en,sent
N00179,F0068,queue_update,push,en,sent
N00180,F0038,slot_reminder,push,hi,sent
N00181,F0024,slot_reminder,push,hi,sent
N00182,F0022,payment_update,sms,en,sent
N00183,F0012,payment_update,sms,bn,sent
N00184,F0084,slot_reminder,push,bn,sent
N00185,F0061,procurement_complete,sms,en,sent
N00186,F0003,slot_reminder,in_app,bn,sent
N00187,F0010,booking_confirmed,sms,hi,sent
N00188,F0023,payment_update,sms,hi,sent
N00189,F0071,queue_update,in_app,en,sent
N00190,F0020,payment_update,sms,en,sent
N00191,F0002,queue_update,sms,hi,sent
N00192,F0066,booking_confirmed,in_app,bn,sent
N00193,F0008,procurement_complete,sms,en,sent
N00194,F0007,procurement_complete,sms,en,sent
N00195,F0031,payment_update,push,bn,sent
N00196,F0036,procurement_complete,sms,hi,sent
N00197,F0023,booking_confirmed,in_app,en,sent
N00198,F0021,payment_update,sms,en,sent
N00199,F0049,slot_reminder,sms,hi,sent
N00200,F0059,payment_update,push,bn,sent
N00201,F0097,procurement_complete,in_app,bn,sent
N00202,F0093,procurement_complete,in_app,hi,sent
N00203,F0083,payment_update,push,bn,sent
N00204,F0074,procurement_complete,push,bn,sent
N00205,F0053,slot_reminder,in_app,hi,sent
N00206,F0017,booking_confirmed,sms,en,sent
N00207,F0077,queue_update,push,en,sent
N00208,F0078,procurement_complete,push,hi,sent
N00209,F0039,queue_update,sms,hi,sent
N00210,F0063,slot_reminder,sms,en,sent
N00211,F0056,slot_reminder,push,bn,sent
N00212,F0098,slot_reminder,in_app,hi,sent
N00213,F0051,slot_reminder,sms,en,sent
N00214,F0030,procurement_complete,push,hi,sent
