payment_id,procurement_id,farmer_id,amount_inr,payment_status
PAY00001,P00001,F0002,66332,paid
PAY00002,P00002,F0047,45011,paid
PAY00003,P00003,F0076,11845,processing
PAY00004,P00004,F0013,35535,processing
PAY00005,P00005,F0033,80546,paid
PAY00006,P00006,F0035,56856,paid
PAY00007,P00007,F0036,59225,pending
PAY00008,P00008,F0006,40273,processing
PAY00009,P00009,F0081,30797,paid
PAY00010,P00010,F0004,54487,pending
PAY00011,P00011,F0081,56856,pending
PAY00012,P00012,F0023,47380,pending
PAY00013,P00013,F0083,66332,paid
PAY00014,P00014,F0048,14214,paid
PAY00015,P00015,F0092,56856,paid
PAY00016,P00016,F0095,63963,paid
PAY00017,P00017,F0017,75808,paid
PAY00018,P00018,F0016,42642,paid
PAY00019,P00019,F0082,45011,paid
PAY00020,P00020,F0013,35535,processing
PAY00021,P00021,F0025,75808,paid
PAY00022,P00022,F0087,35535,processing
PAY00023,P00023,F0091,78177,paid
PAY00024,P00024,F0076,78177,processing
PAY00025,P00025,F0002,49749,pending
PAY00026,P00026,F0086,42642,paid
PAY00027,P00027,F0025,16583,paid
PAY00028,P00028,F0035,66332,paid
PAY00029,P00029,F0057,23690,paid
PAY00030,P00030,F0078,30797,paid
PAY00031,P00031,F0065,63963,pending
PAY00032,P00032,F0082,23690,paid
PAY00033,P00033,F0036,33166,processing
PAY00034,P00034,F0044,18952,pending
PAY00035,P00035,F0090,54487,paid
PAY00036,P00036,F0060,54487,paid
PAY00037,P00037,F0012,18952,paid
PAY00038,P00038,F0012,66332,paid
PAY00039,P00039,F0076,35535,paid
PAY00040,P00040,F0022,68701,paid
PAY00041,P00041,F0082,26059,processing
PAY00042,P00042,F0011,45011,paid
PAY00043,P00043,F0088,33166,paid
PAY00044,P00044,F0097,66332,paid
PAY00045,P00045,F0007,33166,pending
PAY00046,P00046,F0037,63963,paid
PAY00047,P00047,F0018,30797,processing
PAY00048,P00048,F0029,42642,paid
PAY00049,P00049,F0026,30797,paid
PAY00050,P00050,F0034,33166,pending
PAY00051,P00051,F0012,30797,pending
PAY00052,P00052,F0075,37904,processing
PAY00053,P00053,F0099,37904,pending
PAY00054,P00054,F0081,73439,paid
PAY00055,P00055,F0075,14214,pending
PAY00056,P00056,F0069,21321,paid
PAY00057,P00057,F0056,63963,processing
PAY00058,P00058,F0088,59225,processing
PAY00059,P00059,F0044,26059,processing
PAY00060,P00060,F0066,16583,paid
PAY00061,P00061,F0028,30797,pending
PAY00062,P00062,F0005,30797,paid
PAY00063,P00063,F0085,49749,paid
PAY00064,P00064,F0018,47380,pending
PAY00065,P00065,F0042,54487,processing
PAY00066,P00066,F0049,54487,paid
PAY00067,P00067,F0090,35535,paid
PAY00068,P00068,F0046,59225,paid
PAY00069,P00069,F0054,23690,pending
PAY00070,P00070,F0044,35535,paid
PAY00071,P00071,F0046,23690,processing
PAY00072,P00072,F0060,23690,paid
PAY00073,P00073,F0003,68701,pending
PAY00074,P00074,F0079,71070,pending
PAY00075,P00075,F0074,54487,pending
PAY00076,P00076,F0052,66332,pending
PAY00077,P00077,F0032,73439,processing
PAY00078,P00078,F0048,66332,processing
PAY00079,P00079,F0087,47380,pending
PAY00080,P00080,F0006,33166,paid
PAY00081,P00081,F0065,68701,paid
PAY00082,P00082,F0055,42642,processing
PAY00083,P00083,F0074,82915,pending
PAY00084,P00084,F0004,54487,paid
PAY00085,P00085,F0022,49749,processing
PAY00086,P00086,F0077,78177,paid
PAY00087,P00087,F0073,82915,paid
PAY00088,P00088,F0085,21321,processing
PAY00089,P00089,F0007,71070,paid
PAY00090,P00090,F0099,33166,paid
PAY00091,P00091,F0045,71070,pending
PAY00092,P00092,F0022,40273,pending
PAY00093,P00093,F0085,11845,paid
PAY00094,P00094,F0023,26059,processing
PAY00095,P00095,F0011,33166,paid
PAY00096,P00096,F0027,28428,pending
PAY00097,P00097,F0093,16583,paid
PAY00098,P00098,F0088,21321,processing
PAY00099,P00099,F0062,11845,paid
PAY00100,P00100,F0013,37904,pending
PAY00101,P00101,F0088,52118,pending
PAY00102,P00102,F0028,63963,pending
PAY00103,P00103,F0049,61594,pending
PAY00104,P00104,F0032,63963,paid
PAY00105,P00105,F0017,40273,processing
PAY00106,P00106,F0018,68701,pending
PAY00107,P00107,F0042,68701,processing
PAY00108,P00108,F0087,73439,pending
PAY00109,P00109,F0051,56856,paid
PAY00110,P00110,F0063,37904,paid
PAY00111,P00111,F0078,28428,paid
PAY00112,P00112,F0031,68701,processing
PAY00113,P00113,F0044,37904,paid
PAY00114,P00114,F0077,56856,pending
PAY00115,P00115,F0010,80546,paid
PAY00116,P00116,F0064,21321,paid
PAY00117,P00117,F0028,14214,processing
PAY00118,P00118,F0012,42642,processing
PAY00119,P00119,F0084,40273,paid
PAY00120,P00120,F0020,42642,processing
PAY00121,P00121,F0050,33166,pending
PAY00122,P00122,F0034,14214,pending
PAY00123,P00123,F0021,23690,pending
PAY00124,P00124,F0067,61594,paid
PAY00125,P00125,F0011,45011,processing
PAY00126,P00126,F0094,61594,paid
PAY00127,P00127,F0052,59225,paid
PAY00128,P00128,F0041,23690,paid
PAY00129,P00129,F0065,54487,pending
PAY00130,P00130,F0059,61594,paid
PAY00131,P00131,F0084,47380,pending
PAY00132,P00132,F0099,42642,paid
PAY00133,P00133,F0055,33166,processing
PAY00134,P00134,F0082,66332,paid
PAY00135,P00135,F0058,56856,processing
PAY00136,P00136,F0061,68701,processing
PAY00137,P00137,F0069,75808,processing
PAY00138,P00138,F0023,18952,pending
PAY00139,P00139,F0098,52118,pending
PAY00140,P00140,F0087,75808,paid
PAY00141,P00141,F0001,21321,processing
PAY00142,P00142,F0091,82915,processing
PAY00143,P00143,F0066,26059,pending
PAY00144,P00144,F0007,42642,pending
PAY00145,P00145,F0006,33166,paid
PAY00146,P00146,F0063,75808,pending
PAY00147,P00147,F0007,37904,processing
PAY00148,P00148,F0055,30797,processing
PAY00149,P00149,F0038,61594,paid
PAY00150,P00150,F0035,52118,paid
PAY00151,P00151,F0046,33166,pending
PAY00152,P00152,F0058,11845,processing
PAY00153,P00153,F0082,33166,paid
PAY00154,P00154,F0015,56856,processing
PAY00155,P00155,F0005,66332,pending
PAY00156,P00156,F0023,28428,paid
PAY00157,P00157,F0013,52118,paid
PAY00158,P00158,F0019,66332,pending
PAY00159,P00159,F0036,42642,processing
PAY00160,P00160,F0089,45011,paid
PAY00161,P00161,F0094,80546,pending
PAY00162,P00162,F0010,14214,processing
PAY00163,P00163,F0005,37904,paid
PAY00164,P00164,F0093,56856,paid
PAY00165,P00165,F0066,40273,paid
PAY00166,P00166,F0082,35535,processing
PAY00167,P00167,F0052,42642,paid
PAY00168,P00168,F0096,23690,processing
PAY00169,P00169,F0084,66332,paid
PAY00170,P00170,F0056,73439,paid
PAY00171,P00171,F0025,71070,processing
PAY00172,P00172,F0079,33166,paid
PAY00173,P00173,F0007,63963,processing
PAY00174,P00174,F0061,54487,paid
PAY00175,P00175,F0056,68701,processing
PAY00176,P00176,F0089,66332,paid
PAY00177,P00177,F0065,30797,paid
PAY00178,P00178,F0052,56856,paid
PAY00179,P00179,F0037,61594,processing
PAY00180,P00180,F0053,11845,paid
PAY00181,P00181,F0054,11845,paid
PAY00182,P00182,F0035,30797,pending
PAY00183,P00183,F0082,56856,processing
PAY00184,P00184,F0029,18952,paid
PAY00185,P00185,F0091,11845,processing
PAY00186,P00186,F0009,28428,processing
PAY00187,P00187,F0092,66332,pending
PAY00188,P00188,F0054,54487,processing
PAY00189,P00189,F0050,52118,pending
PAY00190,P00190,F0072,80546,paid
PAY00191,P00191,F0044,35535,processing
PAY00192,P00192,F0057,37904,paid
PAY00193,P00193,F0096,45011,pending
PAY00194,P00194,F0069,26059,paid
PAY00195,P00195,F0050,61594,processing
PAY00196,P00196,F0005,40273,paid
PAY00197,P00197,F0063,59225,processing
PAY00198,P00198,F0027,16583,processing
PAY00199,P00199,F0038,33166,processing
PAY00200,P00200,F0087,45011,pending
PAY00201,P00201,F0020,11845,paid
PAY00202,P00202,F0046,56856,pending
PAY00203,P00203,F0098,42642,paid
PAY00204,P00204,F0037,68701,pending
PAY00205,P00205,F0049,28428,paid
PAY00206,P00206,F0078,40273,paid
PAY00207,P00207,F0051,18952,paid
PAY00208,P00208,F0015,26059,processing
PAY00209,P00209,F0021,23690,pending
PAY00210,P00210,F0053,52118,processing
PAY00211,P00211,F0028,68701,pending
PAY00212,P00212,F0077,78177,processing
PAY00213,P00213,F0099,35535,processing
PAY00214,P00214,F0014,59225,processing
PAY00215,P00215,F0069,49749,pending
PAY00216,P00216,F0052,28428,pending
PAY00217,P00217,F0060,68701,processing
PAY00218,P00218,F0058,73439,paid
PAY00219,P00219,F0023,80546,pending
PAY00220,P00220,F0001,33166,processing
PAY00221,P00221,F0060,68701,paid
PAY00222,P00222,F0013,61594,pending
PAY00223,P00223,F0084,54487,pending
PAY00224,P00224,F0053,42642,paid
PAY00225,P00225,F0004,59225,paid
PAY00226,P00226,F0079,21321,paid
PAY00227,P00227,F0074,56856,pending
PAY00228,P00228,F0003,82915,processing
PAY00229,P00229,F0032,56856,paid
PAY00230,P00230,F0081,54487,pending
PAY00231,P00231,F0012,61594,processing
PAY00232,P00232,F0096,11845,pending
PAY00233,P00233,F0066,52118,paid
PAY00234,P00234,F0021,75808,pending
PAY00235,P00235,F0093,37904,paid
