quality_id,procurement_id,moisture_pct,foreign_matter_pct,result
QC00001,P00001,15.87,3.14,pass
QC00002,P00002,18.79,1.22,pass
QC00003,P00003,13.71,4.19,pass
QC00004,P00004,16.83,3.6,pass
QC00005,P00005,13.6,3.87,pass
QC00006,P00006,12.28,3.44,pass
QC00007,P00007,12.64,1.76,pass
QC00008,P00008,18.34,1.53,pass
QC00009,P00009,12.43,1.91,hold
QC00010,P00010,15.25,3.15,pass
QC00011,P00011,14.23,3.54,pass
QC00012,P00012,15.35,2.77,hold
QC00013,P00013,13.38,3.17,pass
QC00014,P00014,16.19,2.2,pass
QC00015,P00015,16.07,4.44,pass
QC00016,P00016,17.04,2.77,pass
QC00017,P00017,16.12,3.54,hold
QC00018,P00018,18.95,2.01,hold
QC00019,P00019,16.21,2.97,pass
QC00020,P00020,14.3,2.93,pass
QC00021,P00021,18.66,2.2,pass
QC00022,P00022,14.39,3.71,pass
QC00023,P00023,16.38,1.45,pass
QC00024,P00024,15.41,2.28,hold
QC00025,P00025,15.47,1.72,hold
QC00026,P00026,16.71,1.38,hold
QC00027,P00027,14.4,3.75,pass
QC00028,P00028,13.36,1.43,pass
QC00029,P00029,13.49,3.01,pass
QC00030,P00030,17.36,2.89,pass
QC00031,P00031,18.49,1.84,pass
QC00032,P00032,14.27,1.77,hold
QC00033,P00033,17.5,4.41,pass
QC00034,P00034,14.28,3.07,hold
QC00035,P00035,16.57,4.15,pass
QC00036,P00036,13.6,2.05,pass
QC00037,P00037,14.6,2.22,pass
QC00038,P00038,17.8,2.26,pass
QC00039,P00039,14.98,2.57,hold
QC00040,P00040,12.04,4.76,pass
QC00041,P00041,18.78,2.41,pass
QC00042,P00042,18.82,4.07,pass
QC00043,P00043,17.73,1.81,pass
QC00044,P00044,14.06,2.49,pass
QC00045,P00045,14.99,2.53,pass
QC00046,P00046,17.58,3.47,hold
QC00047,P00047,17.99,1.43,pass
QC00048,P00048,13.12,3.89,hold
QC00049,P00049,18.66,4.79,hold
QC00050,P00050,16.81,4.64,hold
QC00051,P00051,13.75,4.95,hold
QC00052,P00052,12.42,1.22,pass
QC00053,P00053,13.93,2.48,pass
QC00054,P00054,12.78,1.54,pass
QC00055,P00055,14.27,4.1,hold
QC00056,P00056,17.77,4.5,pass
QC00057,P00057,16.02,3.25,hold
QC00058,P00058,13.72,3.29,pass
QC00059,P00059,15.9,4.27,pass
QC00060,P00060,12.98,4.08,pass
QC00061,P00061,18.7,2.44,hold
QC00062,P00062,17.23,1.86,pass
QC00063,P00063,15.28,2.84,pass
QC00064,P00064,13.39,4.89,pass
QC00065,P00065,13.79,3.99,pass
QC00066,P00066,12.98,3.57,hold
QC00067,P00067,14.77,2.95,pass
QC00068,P00068,17.82,1.24,pass
QC00069,P00069,12.11,2.75,pass
QC00070,P00070,18.72,4.49,pass
QC00071,P00071,17.53,2.97,pass
QC00072,P00072,16.44,3.94,pass
QC00073,P00073,18.82,4.12,pass
QC00074,P00074,17.59,4.39,pass
QC00075,P00075,16.02,2.87,pass
QC00076,P00076,17.26,4.07,hold
QC00077,P00077,17.72,2.86,pass
QC00078,P00078,16.55,1.29,pass
QC00079,P00079,15.18,4.12,hold
QC00080,P00080,18.23,2.61,pass
QC00081,P00081,12.04,4.31,pass
QC00082,P00082,12.06,2.29,pass
QC00083,P00083,13.81,1.89,pass
QC00084,P00084,15.73,3.61,pass
QC00085,P00085,17.39,3.3,pass
QC00086,P00086,18.25,3.86,pass
QC00087,P00087,13.32,1.59,pass
QC00088,P00088,13.27,1.1,pass
QC00089,P00089,17.46,3.16,pass
QC00090,P00090,14.29,2.26,pass
QC00091,P00091,16.61,1.81,pass
QC00092,P00092,14.97,2.08,pass
QC00093,P00093,17.41,1.11,hold
QC00094,P00094,12.86,4.79,pass
QC00095,P00095,15.11,3.98,pass
QC00096,P00096,14.66,2.79,hold
QC00097,P00097,13.39,4.08,pass
QC00098,P00098,12.65,1.7,pass
